#specObjID,spiral,elliptical,petroMag_u,petroMag_g,petroMag_r,z
304044683921745920,0,1,21.52509,18.74549,17.53149,0.1820915
304045233677559808,0,1,20.19649,18.44904,17.12837,0.185742
304046058311280640,1,0,19.0777,17.90949,17.26574,0.1512586
304046333189187584,1,0,18.35239,16.80173,16.15604,0.06678215
304047432700815360,1,0,20.03853,18.23012,17.27566,0.09610837
304047707578722304,1,0,18.56175,17.13571,16.56483,0.06256203
304047982456629248,1,0,18.78893,17.32269,16.44552,0.06916508
304049081968257024,0,1,19.61034,18.35303,17.04856,0.186459
304056778549651456,1,0,17.78233,16.35866,15.71006,0.06974497
304057328305465344,1,0,20.26716,17.53539,16.5939,0.0672456
304058152939186176,1,0,19.41762,18.03951,17.3548,0.1139974
304062001229883392,0,1,20.73306,19.03035,17.71834,0.1909076
304063100741511168,1,0,20.40093,18.50346,17.56119,0.09321657
304063650497325056,1,0,19.19719,17.75862,16.86328,0.09332952
304063925375232000,1,0,18.95972,17.56285,16.80281,0.07119782
304066674154301440,1,0,19.78885,17.75719,16.86966,0.06985778
304067223910115328,1,0,18.70963,17.11867,16.52307,0.06957035
304067498788022272,1,0,18.61787,16.67507,15.77635,0.0957908
304069422933370880,0,1,20.42668,18.54883,17.26407,0.1840709
304073820979881984,1,0,21.23478,18.54774,17.61568,0.1549165
304074095857788928,1,0,19.26774,17.83021,16.99777,0.09265409
304076569758951424,1,0,15.76792,14.52316,13.87255,0.02126984
304080692927555584,0,1,16.84702,15.24228,14.51231,0.04523472
304080967805462528,1,0,18.76494,17.70832,17.08445,0.06778789
304082617072904192,1,0,19.1904,17.89795,17.1395,0.121516
304087564875229184,1,0,19.57226,18.36539,17.35457,0.09900597
304087839753136128,1,0,18.80016,17.1382,16.33465,0.09445084
304088389508950016,1,0,-9999,-9999,-9999,0.09577072
304089763898484736,1,0,19.14544,17.9165,17.27913,0.09551515
304090313654298624,1,0,18.08295,16.84962,16.53866,0.03297864
304090863410112512,1,0,19.45614,18.1701,17.35401,0.1763657
304091962921740288,1,0,20.06632,18.22067,17.20377,0.09644814
304094711700809728,1,0,20.16699,18.76523,17.77074,0.1354782
304094986578716672,1,0,19.45054,17.9888,17.12734,0.09658293
304095536334530560,0,1,20.89491,18.65257,17.3602,0.1837544
304098010235693056,1,0,20.9089,18.38628,17.67707,0.1275737
304100209258948608,1,0,18.70064,17.15092,16.22669,0.09660082
304101308770576384,0,1,20.43152,18.62352,17.37094,0.1843295
304101858526390272,1,0,18.03364,16.87089,16.22085,0.09544029
304104057549645824,1,0,19.6202,18.40846,17.76314,0.126438
304105981694994432,0,1,19.39557,17.79366,16.78427,0.1250771
304110104863598592,1,0,20.50857,18.68919,17.80941,0.09595944
304111479253133312,0,1,19.65714,17.00793,16.00575,0.09560979
304113953154295808,1,0,18.33605,17.09954,16.38928,0.09588677
304114228032202752,1,0,19.16318,17.53632,16.81332,0.04910148
304116701933365248,1,0,19.85326,18.44759,17.5323,0.1619481
304117251689179136,1,0,18.98738,17.68663,17.15073,0.08177959
304120550224062464,1,0,20.68883,18.274,17.58829,0.09017465
304120825101969408,1,0,18.52833,17.24419,16.73657,0.05838413
304121374857783296,1,0,19.31081,18.27167,17.58301,0.1122466
304123299003131904,1,0,20.01391,18.05839,17.07692,0.09746978
304123848758945792,0,1,19.50965,17.71386,16.78605,0.09616082
304124123636852736,1,0,18.66176,17.49416,17.00254,0.09241752
304124948270573568,0,1,18.99216,17.15867,16.19753,0.09537001
304125223148480512,1,0,14.92467,13.8276,13.35085,0.0120204
304126047782201344,1,0,19.70059,18.48884,17.72468,0.09437585
304126322660108288,1,0,19.81592,18.15409,17.38841,0.08419621
304126597538015232,0,1,20.38622,18.54328,17.2366,0.1861651
304128246805456896,1,0,18.69355,17.51201,16.9167,0.06985281
304128796561270784,1,0,20.06648,18.35032,17.5039,0.09612693
304130445828712448,1,0,21.05337,18.64594,17.62989,0.1186833
304130995584526336,1,0,19.49456,18.69989,17.74588,0.09531099
304131820218247168,1,0,16.74388,15.07312,14.66115,0.02064876
304133194607781888,1,0,19.84081,18.36416,17.47786,0.1193646
304133469485688832,1,0,19.45029,18.38617,17.49698,0.2035691
304134294119409664,1,0,18.56975,23.61991,17.12668,0.09598833
304134568997316608,1,0,19.81801,18.18779,17.29062,0.0922997
304136493142665216,1,0,19.61918,18.36602,17.67484,0.1270732
304137042898479104,1,0,19.68278,18.10651,17.12555,0.1218353
304142265578711040,0,1,19.57058,18.00834,16.97617,0.1410715
304142815334524928,0,1,19.09248,17.36268,16.3234,0.116953
304143365090338816,1,0,19.82549,17.75932,16.87592,0.07164221
304143914846152704,1,0,19.98501,18.49558,17.56185,0.1028836
304144464601966592,0,1,19.09987,16.90625,15.91535,0.09508941
304145564113594368,1,0,18.89479,17.77868,17.23689,0.08364218
304146113869408256,1,0,20.06157,18.27384,17.34916,0.08919188
304150511915919360,1,0,20.72664,18.73574,17.81971,0.1222134
304154360206616576,1,0,19.29163,17.30608,16.45842,0.06261506
304154635084523520,1,0,19.09397,18.01771,17.45818,0.1435138
304156834107779072,0,1,20.52937,19.17955,17.45623,0.2720245
304157383863592960,1,0,19.40148,17.88215,16.96523,0.09596653
304157933619406848,0,1,18.01965,16.01982,15.07665,0.07115293
304158758253127680,0,1,20.47693,18.76958,17.79016,0.2050678
304164805567080448,1,0,18.91288,17.35711,16.39739,0.06984474
304165080444987392,1,0,20.0027,18.62925,17.5869,0.1405501
304166729712429056,0,1,18.15471,16.43057,15.45615,0.08384211
304167554346149888,0,1,27.70361,18.69498,17.35632,0.1876732
304167829224056832,0,1,18.49941,16.7617,15.87959,0.07994761
305119456101689344,1,0,18.38314,16.99214,16.47413,0.05255714
305119730979596288,1,0,17.96887,16.41479,15.74444,0.05276097
305120005857503232,1,0,18.96597,17.60354,16.81948,0.1266051
305120555613317120,0,1,20.23086,18.04073,16.97923,0.1269406
305121655124944896,1,0,17.4547,16.32767,15.9437,0.05310839
305124403904014336,1,0,19.22036,17.75351,16.9905,0.155542
305125228537735168,0,1,19.98034,18.54726,17.59591,0.1494804
305125503415642112,0,1,18.40908,16.46372,15.45834,0.09594076
305125778293549056,1,0,18.59725,17.32373,16.64528,0.07523569
305126602927269888,1,0,19.75583,18.4716,17.56342,0.09325765
305127152683083776,1,0,18.40963,17.01326,16.26404,0.0615854
305128252194711552,1,0,19.3514,17.80538,16.98198,0.07870299
305128801950525440,1,0,18.65051,17.50845,16.90249,0.1127693
305131275851687936,1,0,18.91946,17.6575,17.04905,0.09492103
305133474874943488,1,0,18.61555,17.60008,17.11017,0.04329554
305137598043547648,1,0,19.23509,17.4688,16.61323,0.06082683
305138697555175424,1,0,20.42482,18.07797,17.2551,0.09227453
305139522188896256,0,1,19.22571,17.26987,16.25502,0.1253822
305140621700524032,1,0,18.38818,16.59573,15.70703,0.05594477
305145019747035136,1,0,18.95455,17.64477,17.20712,0.03272314
305145294624942080,1,0,17.88151,16.22468,15.52334,0.06333613
